,screen_name,tweet_url,timestamp,text
168,noleftwing,https://twitter.com/noleftwing/status/413201330300125184,18/12/2013 6:57,what could go wrong................ RT @Kostian_V: The New Silk Road to Nowhere | The Diplomat - #NSR  …
169,ANBOUND1993,https://twitter.com/ANBOUND1993/status/413233534862491648,18/12/2013 9:05,The New Silk Road is Promising in Becoming the World's Third Largest Trade Axis  
170,WantChinaTimes,https://twitter.com/WantChinaTimes/status/413264969128755201,18/12/2013 11:10,The 21st New Silk Road Chinese Model Contest  
171,AXJPRESS,https://twitter.com/AXJPRESS/status/413308790550048768,18/12/2013 14:04,"The New Silk Road to Nowhere - Eugene Imas,  The Diplomat Magazine    "
172,AXJPRESS,https://twitter.com/AXJPRESS/status/413308860318113792,18/12/2013 14:04,"The New Silk Road to Nowhere - Eugene Imas,  The Diplomat Magazine    "
173,AXJPRESS,https://twitter.com/AXJPRESS/status/413308921596891137,18/12/2013 14:05,"The New Silk Road to Nowhere - Eugene Imas,  The Diplomat Magazine    "
174,sungy4,https://twitter.com/sungy4/status/413314753679724545,18/12/2013 14:28,The New Silk Road to Nowhere: US post-2014 dev plans for #CentralAsia at risk of strategic failure  … via @eugeneimas
175,myfairobserver,https://twitter.com/myfairobserver/status/413345603398017024,18/12/2013 16:30,#China is expanding its trade networks into #Central Asia and creating a “new Silk Road”:  
176,eugeneimas,https://twitter.com/eugeneimas/status/413364885557215232,18/12/2013 17:47,"My article in @Diplomat_APAC The New Silk Road to Nowhere:US dev plans for CA are worthy, but risk strategic failure.  "
177,eugeneimas,https://twitter.com/eugeneimas/status/413385523378393088,18/12/2013 19:09,"My article: The New Silk Road to Nowhere:US dev plans for CA are worthy, but risk strategic failure.   cc: @Wikistrat"
178,CERESGeorgetown,https://twitter.com/CERESGeorgetown/status/413393560285614080,18/12/2013 19:41,"From Alumnus @eugeneimas The New Silk Road to Nowhere: U.S. dev plans for CA are worthy, but risk strategic failure.  "
